Gene	log2TPM_spo	log2TPM_unspo
E_sti_3.3827	8.63 	2.13 
E_sti_402.4633	7.19 	0.79 
E_sti_698.6328	7.50 	4.82 
E_sti_13.936	1.24 	1.23 
E_sti_748.6501	7.83 	3.44 
E_sti_403.4656	8.22 	5.21 
E_sti_203.2672	2.22 	1.46 
E_sti_140.1210	9.82 	4.70 
E_sti_51.5254	7.01 	6.26 
E_sti_51.5255	0.98 	0.18 
E_sti_8.6691	10.64 	4.31 
E_sti_51.5262	9.80 	6.41 
E_sti_84.7027	2.89 	3.19 
E_sti_138.1178	2.41 	1.58 
E_sti_77.6593	3.51 	2.38 
E_sti_84.7026	3.08 	1.34 
E_sti_84.7025	0.30 	0.00 
E_sti_508.5224	2.19 	1.38 
E_sti_8.6720	8.24 	6.58 
E_sti_167.1776	9.16 	5.70 
