Gene	Type	log2TPM_spo	log2TPM_unspo
E_sti_10.36	Hypothetical_SAGs	7.68 	5.01 
E_sti_137.1082	Hypothetical_SAGs	4.75 	3.15 
E_sti_137.1084	Hypothetical_SAGs	2.78 	1.84 
E_sti_137.1085	Hypothetical_SAGs	3.39 	4.34 
E_sti_137.1086	Hypothetical_SAGs	6.34 	3.02 
E_sti_137.1088	Hypothetical_SAGs	5.43 	1.61 
E_sti_137.1089	Hypothetical_SAGs	6.81 	8.50 
E_sti_137.1090	Hypothetical_SAGs	5.02 	4.91 
E_sti_137.1091	Hypothetical_SAGs	3.46 	1.63 
E_sti_142.1292	Hypothetical_SAGs	4.64 	3.76 
E_sti_142.1293	Hypothetical_SAGs	5.59 	6.46 
E_sti_158.1563	Hypothetical_SAGs	2.89 	0.00 
E_sti_207.2709	Hypothetical_SAGs	0.79 	0.60 
E_sti_21.2781	Hypothetical_SAGs	6.76 	5.87 
E_sti_243.3336	Hypothetical_SAGs	8.39 	8.80 
E_sti_243.3337	Hypothetical_SAGs	4.95 	3.19 
E_sti_243.3340	Hypothetical_SAGs	5.82 	5.04 
E_sti_254.3405	Hypothetical_SAGs	3.96 	5.69 
E_sti_254.3406	Hypothetical_SAGs	2.78 	3.53 
E_sti_254.3407	Hypothetical_SAGs	7.53 	8.76 
E_sti_3.3876	Hypothetical_SAGs	1.93 	0.00 
E_sti_337.4175	Hypothetical_SAGs	1.36 	2.37 
E_sti_337.4179	Hypothetical_SAGs	1.90 	0.07 
E_sti_378.4428	Hypothetical_SAGs	1.95 	1.86 
E_sti_379.4429	Hypothetical_SAGs	2.27 	0.91 
E_sti_380.4531	Hypothetical_SAGs	6.51 	4.83 
E_sti_380.4533	Hypothetical_SAGs	1.91 	0.85 
E_sti_40.4585	Hypothetical_SAGs	0.40 	0.40 
E_sti_40.4586	Hypothetical_SAGs	4.44 	1.37 
E_sti_405.4662	Hypothetical_SAGs	0.81 	0.00 
E_sti_420.4739	Hypothetical_SAGs	4.73 	0.62 
E_sti_45.4859	Hypothetical_SAGs	3.89 	0.00 
E_sti_510.5330	Hypothetical_SAGs	1.38 	0.00 
E_sti_511.5331	Hypothetical_SAGs	0.49 	0.60 
E_sti_522.5384	Hypothetical_SAGs	3.76 	0.70 
E_sti_569.5635	Hypothetical_SAGs	2.42 	2.11 
E_sti_590.5811	Hypothetical_SAGs	0.89 	0.00 
E_sti_60.5854	Hypothetical_SAGs	2.19 	3.26 
E_sti_637.5965	Hypothetical_SAGs	2.20 	0.00 
E_sti_64.5979	Hypothetical_SAGs	3.41 	3.12 
E_sti_64.5986	Hypothetical_SAGs	4.80 	2.77 
E_sti_65.6073	Hypothetical_SAGs	6.75 	7.62 
E_sti_65.6075	Hypothetical_SAGs	5.22 	5.97 
E_sti_674.6254	Hypothetical_SAGs	1.44 	0.00 
E_sti_675.6255	Hypothetical_SAGs	2.80 	1.08 
E_sti_73.6463	Hypothetical_SAGs	0.30 	0.30 
E_sti_73.6474	Hypothetical_SAGs	3.96 	0.33 
E_sti_73.6478	Hypothetical_SAGs	2.39 	3.64 
E_sti_137.1053	GRAs	10.39 	8.16 
E_sti_59.5809	GRAs	4.19 	2.84 
E_sti_172.1939	GRAs	2.78 	2.41 
E_sti_44.4788	GRAs	9.45 	2.24 
E_sti_312.3998	ROPs	6.61 	7.96 
E_sti_312.3999	ROPs	4.45 	3.42 
E_sti_312.3981	ROPs	4.75 	3.83 
E_sti_312.3995	ROPs	1.79 	1.00 
E_sti_198.2527	ROPs	5.81 	1.23 
E_sti_146.1359	ROPs	6.40 	5.81 
E_sti_63.5943	ROPs	6.21 	4.42 
E_sti_80.6869	ROPs	9.79 	4.19 
E_sti_17.1870	ROPs	9.93 	2.05 
E_sti_3.3827	MICs	8.63 	2.13 
E_sti_402.4633	MICs	7.19 	0.79 
E_sti_698.6328	MICs	7.50 	4.82 
E_sti_13.936	MICs	1.24 	1.23 
E_sti_748.6501	MICs	7.83 	3.44 
E_sti_403.4656	MICs	8.22 	5.21 
E_sti_203.2672	MICs	2.22 	1.46 
E_sti_140.1210	MICs	9.82 	4.70 
E_sti_51.5254	MICs	7.01 	6.26 
E_sti_51.5255	MICs	0.98 	0.18 
E_sti_8.6691	MICs	10.64 	4.31 
E_sti_51.5262	MICs	9.80 	6.41 
E_sti_84.7027	MICs	2.89 	3.19 
E_sti_138.1178	MICs	2.41 	1.58 
E_sti_77.6593	MICs	3.51 	2.38 
E_sti_84.7026	MICs	3.08 	1.34 
E_sti_84.7025	MICs	0.30 	0.00 
E_sti_508.5224	MICs	2.19 	1.38 
E_sti_8.6720	MICs	8.24 	6.58 
E_sti_167.1776	MICs	9.16 	5.70 
E_sti_25.3376	RONs	6.20 	5.43 
E_sti_146.1393	RONs	4.48 	3.04 
E_sti_17.1826	RONs	4.39 	3.50 
E_sti_307.3937	RONs	2.41 	0.31 
E_sti_307.3931	RONs	4.65 	2.97 
E_sti_194.2395	RONs	5.39 	4.49 
E_sti_157.1544	RONs	5.56 	4.09 
E_sti_193.2376	RONs	4.71 	3.04 
E_sti_85.7152	RONs	3.94 	3.05 
E_sti_243.3342	RONs	4.00 	2.35 
E_sti_20.2597	RONs	5.18 	5.57 
E_sti_291.3724	RONs	2.21 	0.23 
E_sti_20.2569	RONs	1.15 	0.10 
E_sti_144.1334	RONs	5.47 	2.78 
