Gene	log2TPM_spo	log2TPM_unspo
E_sti_10.36	7.68 	5.01 
E_sti_137.1082	4.75 	3.15 
E_sti_137.1084	2.78 	1.84 
E_sti_137.1085	3.39 	4.34 
E_sti_137.1086	6.34 	3.02 
E_sti_137.1088	5.43 	1.61 
E_sti_137.1089	6.81 	8.50 
E_sti_137.1090	5.02 	4.91 
E_sti_137.1091	3.46 	1.63 
E_sti_142.1292	4.64 	3.76 
E_sti_142.1293	5.59 	6.46 
E_sti_158.1563	2.89 	0.00 
E_sti_207.2709	0.79 	0.60 
E_sti_21.2781	6.76 	5.87 
E_sti_243.3336	8.39 	8.80 
E_sti_243.3337	4.95 	3.19 
E_sti_243.3340	5.82 	5.04 
E_sti_254.3405	3.96 	5.69 
E_sti_254.3406	2.78 	3.53 
E_sti_254.3407	7.53 	8.76 
E_sti_3.3876	1.93 	0.00 
E_sti_337.4175	1.36 	2.37 
E_sti_337.4179	1.90 	0.07 
E_sti_378.4428	1.95 	1.86 
E_sti_379.4429	2.27 	0.91 
E_sti_380.4531	6.51 	4.83 
E_sti_380.4533	1.91 	0.85 
E_sti_40.4585	0.40 	0.40 
E_sti_40.4586	4.44 	1.37 
E_sti_405.4662	0.81 	0.00 
E_sti_420.4739	4.73 	0.62 
E_sti_45.4859	3.89 	0.00 
E_sti_510.5330	1.38 	0.00 
E_sti_511.5331	0.49 	0.60 
E_sti_522.5384	3.76 	0.70 
E_sti_569.5635	2.42 	2.11 
E_sti_590.5811	0.89 	0.00 
E_sti_60.5854	2.19 	3.26 
E_sti_637.5965	2.20 	0.00 
E_sti_64.5979	3.41 	3.12 
E_sti_64.5986	4.80 	2.77 
E_sti_65.6073	6.75 	7.62 
E_sti_65.6075	5.22 	5.97 
E_sti_674.6254	1.44 	0.00 
E_sti_675.6255	2.80 	1.08 
E_sti_73.6463	0.30 	0.30 
E_sti_73.6474	3.96 	0.33 
E_sti_73.6478	2.39 	3.64 
E_sti_137.1053	10.39 	8.16 
E_sti_59.5809	4.19 	2.84 
E_sti_172.1939	2.78 	2.41 
E_sti_44.4788	9.45 	2.24 
E_sti_312.3998	6.61 	7.96 
E_sti_312.3999	4.45 	3.42 
E_sti_312.3981	4.75 	3.83 
E_sti_312.3995	1.79 	1.00 
E_sti_198.2527	5.81 	1.23 
E_sti_146.1359	6.40 	5.81 
E_sti_63.5943	6.21 	4.42 
E_sti_80.6869	9.79 	4.19 
E_sti_17.1870	9.93 	2.05 
E_sti_3.3827	8.63 	2.13 
E_sti_402.4633	7.19 	0.79 
E_sti_698.6328	7.50 	4.82 
E_sti_13.936	1.24 	1.23 
E_sti_748.6501	7.83 	3.44 
E_sti_403.4656	8.22 	5.21 
E_sti_203.2672	2.22 	1.46 
E_sti_140.1210	9.82 	4.70 
E_sti_51.5254	7.01 	6.26 
E_sti_51.5255	0.98 	0.18 
E_sti_8.6691	10.64 	4.31 
E_sti_51.5262	9.80 	6.41 
E_sti_84.7027	2.89 	3.19 
E_sti_138.1178	2.41 	1.58 
E_sti_77.6593	3.51 	2.38 
E_sti_84.7026	3.08 	1.34 
E_sti_84.7025	0.30 	0.00 
E_sti_508.5224	2.19 	1.38 
E_sti_8.6720	8.24 	6.58 
E_sti_167.1776	9.16 	5.70 
E_sti_25.3376	6.20 	5.43 
E_sti_146.1393	4.48 	3.04 
E_sti_17.1826	4.39 	3.50 
E_sti_307.3937	2.41 	0.31 
E_sti_307.3931	4.65 	2.97 
E_sti_194.2395	5.39 	4.49 
E_sti_157.1544	5.56 	4.09 
E_sti_193.2376	4.71 	3.04 
E_sti_85.7152	3.94 	3.05 
E_sti_243.3342	4.00 	2.35 
E_sti_20.2597	5.18 	5.57 
E_sti_291.3724	2.21 	0.23 
E_sti_20.2569	1.15 	0.10 
E_sti_144.1334	5.47 	2.78 
