Gene	Type
E_sti_10.36	Hypothetical_SAGs
E_sti_137.1082	Hypothetical_SAGs
E_sti_137.1084	Hypothetical_SAGs
E_sti_137.1085	Hypothetical_SAGs
E_sti_137.1086	Hypothetical_SAGs
E_sti_137.1088	Hypothetical_SAGs
E_sti_137.1089	Hypothetical_SAGs
E_sti_137.1090	Hypothetical_SAGs
E_sti_137.1091	Hypothetical_SAGs
E_sti_142.1292	Hypothetical_SAGs
E_sti_142.1293	Hypothetical_SAGs
E_sti_158.1563	Hypothetical_SAGs
E_sti_207.2709	Hypothetical_SAGs
E_sti_21.2781	Hypothetical_SAGs
E_sti_243.3336	Hypothetical_SAGs
E_sti_243.3337	Hypothetical_SAGs
E_sti_243.3340	Hypothetical_SAGs
E_sti_254.3405	Hypothetical_SAGs
E_sti_254.3406	Hypothetical_SAGs
E_sti_254.3407	Hypothetical_SAGs
E_sti_3.3876	Hypothetical_SAGs
E_sti_337.4175	Hypothetical_SAGs
E_sti_337.4179	Hypothetical_SAGs
E_sti_378.4428	Hypothetical_SAGs
E_sti_379.4429	Hypothetical_SAGs
E_sti_380.4531	Hypothetical_SAGs
E_sti_380.4533	Hypothetical_SAGs
E_sti_40.4585	Hypothetical_SAGs
E_sti_40.4586	Hypothetical_SAGs
E_sti_405.4662	Hypothetical_SAGs
E_sti_420.4739	Hypothetical_SAGs
E_sti_45.4859	Hypothetical_SAGs
E_sti_510.5330	Hypothetical_SAGs
E_sti_511.5331	Hypothetical_SAGs
E_sti_522.5384	Hypothetical_SAGs
E_sti_569.5635	Hypothetical_SAGs
E_sti_590.5811	Hypothetical_SAGs
E_sti_60.5854	Hypothetical_SAGs
E_sti_637.5965	Hypothetical_SAGs
E_sti_64.5979	Hypothetical_SAGs
E_sti_64.5986	Hypothetical_SAGs
E_sti_65.6073	Hypothetical_SAGs
E_sti_65.6075	Hypothetical_SAGs
E_sti_674.6254	Hypothetical_SAGs
E_sti_675.6255	Hypothetical_SAGs
E_sti_73.6463	Hypothetical_SAGs
E_sti_73.6474	Hypothetical_SAGs
E_sti_73.6478	Hypothetical_SAGs
E_sti_137.1053	GRA
E_sti_59.5809	GRA
E_sti_172.1939	GRA
E_sti_44.4788	GRA
E_sti_312.3998	ROP
E_sti_312.3999	ROP
E_sti_312.3981	ROP
E_sti_312.3995	ROP
E_sti_198.2527	ROP
E_sti_146.1359	ROP
E_sti_63.5943	ROP
E_sti_80.6869	ROP
E_sti_17.1870	ROP
E_sti_3.3827	MIC
E_sti_402.4633	MIC
E_sti_698.6328	MIC
E_sti_13.936	MIC
E_sti_748.6501	MIC
E_sti_403.4656	MIC
E_sti_203.2672	MIC
E_sti_140.1210	MIC
E_sti_51.5254	MIC
E_sti_51.5255	MIC
E_sti_8.6691	MIC
E_sti_51.5262	MIC
E_sti_84.7027	MIC
E_sti_138.1178	MIC
E_sti_77.6593	MIC
E_sti_84.7026	MIC
E_sti_84.7025	MIC
E_sti_508.5224	MIC
E_sti_8.6720	MIC
E_sti_167.1776	MIC
E_sti_25.3376	RON
E_sti_146.1393	RON
E_sti_17.1826	RON
E_sti_307.3937	RON
E_sti_307.3931	RON
E_sti_194.2395	RON
E_sti_157.1544	RON
E_sti_193.2376	RON
E_sti_85.7152	RON
E_sti_243.3342	RON
E_sti_20.2597	RON
E_sti_291.3724	RON
E_sti_20.2569	RON
E_sti_144.1334	RON
